house_floor,house_area,house_address,house_price,house_rentKind,house_img_urls,house_title,house_decoration,house_structure,house_link
"
									低层
			/11层
",25.7平米,"
					福田上梅林粤华路
					",3000,整租,"
					http://yun200.qfangimg.com/group1/147x110/M00/8C/98/CvtcKVbZOSuAUdPwAArfOkhhJNM355.png
			",上梅林地铁口物业 高档社区 家电全齐 精装修-整租,精装修,1房0厅,http://shenzhen.qfang.com/rent/13136759
"
									低层
			/11层
",25.7平米,"
					福田上梅林粤华路
					",3000,整租,"
					http://yun200.qfangimg.com/group1/147x110/M00/5F/6E/CvtcKlcyhb6ANJM-AADkZ2FaUV4898.JPG
			",上梅林地铁口物业 高档社区 家电全齐 精装修-整租,精装修,1房0厅,http://shenzhen.qfang.com/rent/13136759
"
									低层
			/11层
",25.7平米,"
					福田上梅林粤华路
					",3000,整租,"
					http://is2.qfangimg.com/broker/2012/11/20/147x110/4c6c8c03-71a1-4e7b-9125-fd4b0accef20.jpg
			",上梅林地铁口物业 高档社区 家电全齐 精装修-整租,精装修,1房0厅,http://shenzhen.qfang.com/rent/13136759
"
									低层
			/11层
",25.7平米,"
					福田上梅林粤华路
					",3000,整租,"
					http://is2.qfangimg.com/shenzhen/broker/2015/4/10/147x110/60fb09ea-1893-448e-a78e-1708b6286946.jpg
			",上梅林地铁口物业 高档社区 家电全齐 精装修-整租,精装修,1房0厅,http://shenzhen.qfang.com/rent/13136759
"
									低层
			/11层
",25.7平米,"
					福田上梅林粤华路
					",3000,整租,"
					http://is2.qfangimg.com/shenzhen/broker/2015/4/12/147x110/1e33bdea-6b1a-419a-b116-431da37fdbb4.jpg
			",上梅林地铁口物业 高档社区 家电全齐 精装修-整租,精装修,1房0厅,http://shenzhen.qfang.com/rent/13136759
"
									低层
			/11层
",25.7平米,"
					福田上梅林粤华路
					",3000,整租,"
					http://yun.qfangimg.com/group1/147x110/M00/C1/0D/wagAK1Z74c6AMAroAADyrZhJWfI396.jpg
			",上梅林地铁口物业 高档社区 家电全齐 精装修-整租,精装修,1房0厅,http://shenzhen.qfang.com/rent/13136759
"
									低层
			/11层
",25.7平米,"
					福田上梅林粤华路
					",3000,整租,"
					http://yun200.qfangimg.com/group1/147x110/M00/60/2A/CvtcKVcyiU6AJz2-AABBFJ7cZyY408.JPG
			",上梅林地铁口物业 高档社区 家电全齐 精装修-整租,精装修,1房0厅,http://shenzhen.qfang.com/rent/13136759
"
									低层
			/11层
",25.7平米,"
					福田上梅林粤华路
					",3000,整租,"
					http://is2.qfangimg.com/broker/2012/11/30/147x110/8340b2b2-e317-4a77-b9bd-76c00517e2f1.jpg
			",上梅林地铁口物业 高档社区 家电全齐 精装修-整租,精装修,1房0厅,http://shenzhen.qfang.com/rent/13136759
"
									低层
			/11层
",25.7平米,"
					福田上梅林粤华路
					",3000,整租,"
					http://yun200.qfangimg.com/group1/147x110/M00/F9/D6/CvtcKVbw-beAGKwOAACUK87vh2g749.jpg
			",上梅林地铁口物业 高档社区 家电全齐 精装修-整租,精装修,1房0厅,http://shenzhen.qfang.com/rent/13136759
"
									低层
			/11层
",25.7平米,"
					福田上梅林粤华路
					",3000,整租,"
					http://yun200.qfangimg.com/group1/147x110/M00/5A/4A/CvtcKVcxRu-ADxUTAAC4-CkFwfs945.jpg
			",上梅林地铁口物业 高档社区 家电全齐 精装修-整租,精装修,1房0厅,http://shenzhen.qfang.com/rent/13136759
"
									低层
			/11层
",25.7平米,"
					福田上梅林粤华路
					",3000,整租,"
					http://yun200.qfangimg.com/group1/147x110/M00/8D/1B/CvtcKVbZVFOARTi5AADUuO9iZBU703.jpg
			",上梅林地铁口物业 高档社区 家电全齐 精装修-整租,精装修,1房0厅,http://shenzhen.qfang.com/rent/13136759
